Date       , Business Name    , Category                     , Amount
10/25/2024,Spotify          ,Entertainment & Subscriptions,18.99
11/01/2024,Starbucks        ,Food & Beverage              ,8.50
11/06/2024,McDonald's       ,Food & Beverage              ,12.00
11/11/2024,Amazon           ,Retail & Shopping            ,80.99
11/16/2024,Walmart          ,Retail & Shopping            ,48.00
11/21/2024,Whole Foods      ,Home & Personal Care         ,102.00
11/26/2024,Home Depot       ,Home & Personal Care         ,75.00
11/09/2024,Shell            ,Travel & Transportation      ,56.00
11/14/2024,Uber             ,Travel & Transportation      ,21.00
11/19/2024,Netflix          ,Entertainment & Subscriptions,25.99
11/24/2024,Spotify          ,Entertainment & Subscriptions,19.99
12/03/2024,Starbucks        ,Food & Beverage              ,8.75
12/08/2024,McDonald's       ,Food & Beverage              ,12.50
12/13/2024,Amazon           ,Retail & Shopping            ,82.99
12/18/2024,Walmart          ,Retail & Shopping            ,50.50
12/23/2024,Whole Foods      ,Home & Personal Care         ,105.00
12/28/2024,Home Depot       ,Home & Personal Care         ,77.50
12/11/2024,Shell            ,Travel & Transportation      ,58.00
12/16/2024,Uber             ,Travel & Transportation      ,21.75
12/21/2024,Netflix          ,Entertainment & Subscriptions,26.99
12/26/2024,Spotify          ,Entertainment & Subscriptions,20.99
01/01/2025,Whole Foods      ,Home & Personal Care         ,102.00
05/01/2025,Home Depot       ,Home & Personal Care         ,75.00
11/01/2025,Shell            ,Travel & Transportation      ,56.00
11/01/2025,Uber             ,Travel & Transportation      ,21.00
01/01/2025,Netflix          ,Entertainment & Subscriptions,25.99
02/01/2025,Spotify          ,Entertainment & Subscriptions,19.99
03/01/2025,Starbucks        ,Food & Beverage              ,8.75
